#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
90	16	13	77	0	16	0	3225.64	EvolutionaryComputationStrategyPlacement	1.498399019241333
90	32	24	66	0	32	0	5338.560000000001	EvolutionaryComputationStrategyPlacement	3.139939069747925
90	48	33	57	0	48	0	7121.960000000001	EvolutionaryComputationStrategyPlacement	4.665330171585083
90	64	44	46	0	64	0	9323.280000000002	EvolutionaryComputationStrategyPlacement	6.855494022369385
90	80	56	34	0	80	0	11459.520000000002	EvolutionaryComputationStrategyPlacement	9.497483015060425
90	96	67	23	0	96	0	13379.320000000002	EvolutionaryComputationStrategyPlacement	12.668543100357056
90	112	81	9	0	112	0	15796.120000000004	EvolutionaryComputationStrategyPlacement	16.71232795715332
90	128	90	0	0	127	1	17595.839999999997	EvolutionaryComputationStrategyPlacement	20.124624967575073
90	144	90	0	0	136	8	18022.880000000005	EvolutionaryComputationStrategyPlacement	22.53470206260681
90	160	90	0	0	138	22	18395.519999999997	EvolutionaryComputationStrategyPlacement	25.03008198738098
90	176	90	0	0	138	38	18085.440000000002	EvolutionaryComputationStrategyPlacement	28.347623109817505
90	192	90	0	0	141	51	17405.44	EvolutionaryComputationStrategyPlacement	31.378658056259155
90	208	90	0	0	147	61	18530.159999999996	EvolutionaryComputationStrategyPlacement	33.576338052749634
90	224	90	0	0	149	75	18256.800000000003	EvolutionaryComputationStrategyPlacement	36.652782917022705
90	240	90	0	0	150	90	18124.88	EvolutionaryComputationStrategyPlacement	39.68559288978577
90	256	90	0	0	155	101	18372.40000000001	EvolutionaryComputationStrategyPlacement	42.568912982940674
90	272	90	0	0	152	120	17772.640000000007	EvolutionaryComputationStrategyPlacement	45.34215998649597
90	288	90	0	0	160	128	18024.239999999994	EvolutionaryComputationStrategyPlacement	47.76883387565613
