#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
90	16	11	79	0	16	0	2644.5200000000004	OpenOptStrategyPlacement	0.11747908592224121
90	32	19	71	0	32	0	4231.879999999999	OpenOptStrategyPlacement	0.17330694198608398
90	48	30	60	0	48	0	6469.920000000001	OpenOptStrategyPlacement	0.36150503158569336
90	64	37	53	0	64	0	7975.4800000000005	OpenOptStrategyPlacement	0.5354151725769043
90	80	41	49	0	80	0	8820.84	OpenOptStrategyPlacement	0.7039670944213867
90	96	51	39	0	96	0	10665.64	OpenOptStrategyPlacement	0.9726850986480713
90	112	62	28	0	112	0	12638.479999999998	OpenOptStrategyPlacement	1.3801569938659668
90	128	68	22	0	128	0	13926.239999999996	OpenOptStrategyPlacement	1.7061378955841064
90	144	77	13	0	144	0	15524.679999999993	OpenOptStrategyPlacement	2.171739101409912
90	160	84	6	0	160	0	17315.839999999997	OpenOptStrategyPlacement	2.5660219192504883
90	176	90	0	0	174	2	18479.839999999997	OpenOptStrategyPlacement	3.06856107711792
90	192	90	0	0	180	12	18237.760000000002	OpenOptStrategyPlacement	3.7416348457336426
90	208	90	0	0	187	21	18097.679999999997	OpenOptStrategyPlacement	4.370510101318359
90	224	90	0	0	196	28	18011.999999999996	OpenOptStrategyPlacement	4.8708930015563965
90	240	90	0	0	206	34	18508.400000000005	OpenOptStrategyPlacement	5.37516713142395
90	256	90	0	0	212	44	18634.880000000005	OpenOptStrategyPlacement	6.221120834350586
90	272	90	0	0	222	50	18749.119999999995	OpenOptStrategyPlacement	6.678857803344727
90	288	90	0	0	230	58	19250.960000000003	OpenOptStrategyPlacement	7.293286085128784
