#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
20	16	9	11	0	16	0	1542.0400000000002	EvolutionaryComputationStrategyPlacement	0.9833240509033203
20	32	17	3	0	32	0	2894.12	EvolutionaryComputationStrategyPlacement	2.1111550331115723
20	48	19	1	0	48	0	3601.72	EvolutionaryComputationStrategyPlacement	2.5669288635253906
20	64	20	0	0	58	6	3627.759999999999	EvolutionaryComputationStrategyPlacement	3.0522079467773438
20	80	20	0	0	64	16	3701.1999999999994	EvolutionaryComputationStrategyPlacement	3.6707329750061035
20	96	20	0	0	75	21	4166.32	EvolutionaryComputationStrategyPlacement	4.234615087509155
20	112	20	0	0	77	35	3969.1199999999994	EvolutionaryComputationStrategyPlacement	5.047636985778809
20	128	20	0	0	78	50	3684.879999999999	EvolutionaryComputationStrategyPlacement	5.8737101554870605
20	144	20	0	0	63	81	3460.4800000000005	EvolutionaryComputationStrategyPlacement	6.97639799118042
20	160	20	0	0	64	96	3653.5999999999995	EvolutionaryComputationStrategyPlacement	7.662399053573608
20	176	20	0	0	65	111	4088.8	EvolutionaryComputationStrategyPlacement	8.354892015457153
20	192	20	0	0	74	118	3460.4799999999996	EvolutionaryComputationStrategyPlacement	8.8906569480896
20	208	20	0	0	65	143	3463.2	EvolutionaryComputationStrategyPlacement	9.63532304763794
20	224	20	0	0	68	156	3699.8399999999997	EvolutionaryComputationStrategyPlacement	10.204694986343384
20	240	20	0	0	72	168	3999.04	EvolutionaryComputationStrategyPlacement	10.877233982086182
20	256	20	0	0	72	184	3803.199999999999	EvolutionaryComputationStrategyPlacement	11.48349905014038
20	272	20	0	0	76	196	4194.88	EvolutionaryComputationStrategyPlacement	12.078442096710205
20	288	20	0	0	77	211	3875.28	EvolutionaryComputationStrategyPlacement	12.632044076919556
